INT_ID,Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Sev_4-5,Sev_3-5
1890,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1
1892,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0
1896,2,1,0,1,1,0,0,0,3,6,0,1,1,0,1,2
1898,4,1,0,0,0,0,0,0,0,2,1,1,0,1,1,2
1902,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0
1903,15,1,0,0,0,0,0,0,0,10,4,2,0,0,0,2
1906,17,13,0,0,0,0,0,0,1,23,7,1,0,0,0,1
1907,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1
1909,6,0,0,1,0,0,0,0,1,4,1,2,1,0,1,3
1910,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,2
1911,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1912,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
1913,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1914,19,28,1,0,1,1,0,0,2,33,13,4,1,1,2,6
1915,12,3,0,2,0,1,0,0,2,10,8,2,0,0,0,2
1917,2,0,0,1,1,0,0,0,3,3,2,1,1,0,1,2
1919,6,6,0,1,0,0,0,0,2,10,4,1,0,0,0,1
1920,9,5,1,3,2,1,1,0,1,14,4,4,1,0,1,5
1921,6,2,0,0,0,0,0,0,4,8,3,0,0,1,1,1
1922,6,2,0,2,0,0,0,0,5,12,1,1,1,0,1,2
1923,3,0,0,0,0,0,0,0,1,2,0,2,0,0,0,2
1924,7,7,0,2,0,0,0,0,2,13,1,4,0,0,0,4
1925,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
1926,1,14,0,1,0,0,0,0,3,16,2,1,0,0,0,1
1927,5,6,1,0,1,2,0,0,7,17,3,2,0,0,0,2
1928,7,9,1,0,0,0,0,0,5,16,4,1,1,0,1,2
1929,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
1930,2,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0
1931,6,7,1,1,0,0,0,0,0,12,2,1,0,0,0,1
1932,20,17,1,2,0,0,0,0,3,27,13,1,0,2,2,3
1933,17,18,1,2,0,0,0,0,2,26,7,6,1,0,1,7
1934,22,13,0,1,2,0,0,0,0,22,6,8,1,1,2,10
1936,16,6,1,1,1,0,0,0,0,21,3,1,0,0,0,1
1939,4,5,0,1,1,0,0,0,2,10,1,2,0,0,0,2
1940,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1941,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1942,5,0,1,0,1,1,0,0,0,4,2,2,0,0,0,2
1943,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1944,15,3,1,1,3,0,0,0,1,16,8,0,0,0,0,0
1945,2,2,0,1,0,3,0,0,6,7,4,3,0,0,0,3
1946,4,8,0,0,0,1,0,0,1,10,2,2,0,0,0,2
1947,3,4,0,1,1,0,0,0,0,8,1,0,0,0,0,0
1948,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1949,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1950,2,22,1,4,0,1,0,0,6,29,5,2,0,0,0,2
1951,1,0,1,0,0,0,0,0,1,2,0,0,0,1,1,1
1952,6,4,0,1,0,0,0,0,4,12,2,1,0,0,0,1
1953,22,7,0,0,1,0,0,0,1,21,7,2,0,1,1,3
1954,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1955,3,7,0,0,0,0,0,0,3,8,3,2,0,0,0,2
1956,23,15,1,0,1,0,0,0,2,31,7,3,1,0,1,4
1957,6,13,2,1,1,0,0,0,3,17,3,5,1,0,1,6
1958,1,1,0,0,0,0,0,0,1,2,0,0,1,0,1,1
1960,3,5,0,0,2,0,0,0,1,10,1,0,0,0,0,0
1961,3,3,0,1,2,0,0,0,0,7,1,1,0,0,0,1
1962,7,31,0,2,1,1,0,0,1,31,9,3,0,0,0,3
1963,14,21,1,3,0,1,0,0,4,35,7,2,0,0,0,2
1964,6,21,0,1,0,0,0,0,3,23,4,4,0,0,0,4
1966,9,12,0,3,0,0,0,0,0,17,6,0,1,0,1,1
1967,10,2,0,0,0,1,0,0,0,8,3,2,0,0,0,2
1968,4,7,1,0,0,0,1,0,1,13,1,0,0,0,0,0
1969,24,25,2,5,0,0,0,0,3,41,9,5,4,0,4,9
1970,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0
1971,1,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0
